Sample	Unique Reads	Duplicate Reads
CN_17_RG_2086_BL_ADL_F__SRR17643154__R1__dfc65a86a855da304bcaec1056be33e8	4869165.0	13090465.0
CN_17_RG_2086_BL_ADL_F__SRR17643154__R2__844d2d55f5dc380fa8428ca22b92b97d	4246645.0	13712985.0
CN_17_RG_2086_BL_ADL_F__SRR17643156__R1__fbbdba2e20a5e336f7be9473daced88a	1441809.0	1621773.0
CN_17_RG_2086_BL_ADL_F__SRR17643156__R2__48b96a2ede754e26a5c724b2e1d6a0ed	1257502.0	1806080.0
CN_17_RG_2087_BL_ADL_M__SRR17643272__R1__6ccaa1e00e6095a9ba2f8eed78c0b38a	7127212.0	19931158.0
CN_17_RG_2087_BL_ADL_M__SRR17643272__R2__e37ddf4f5dd46998d77e6e1fc26ad8b8	5786038.0	21272332.0
CN_17_RG_2091_BL_ADL_F__SRR17643270__R1__b9b08ea7246ad8003055c4c087036ce4	4464804.0	11415631.0
CN_17_RG_2091_BL_ADL_F__SRR17643270__R2__b7ae647d44ca9189cc828489c6a79124	3961518.0	11918917.0
CN_17_RG_2091_BL_ADL_F__SRR17643271__R1__f3e2650773095cc4bfc151c931869ab4	1598987.0	1859170.0
CN_17_RG_2091_BL_ADL_F__SRR17643271__R2__9825e25dc073b725edc7c525c0bd479b	1390548.0	2067609.0
CN_17_RG_2093_BL_ADL_M__SRR17643268__R1__8ad2e44478fa23bd99accd64c76810dc	4988256.0	13657826.0
CN_17_RG_2093_BL_ADL_M__SRR17643268__R2__e8e15a253aed5785f8603a0882752e15	4458628.0	14187454.0
CN_17_RG_2093_BL_ADL_M__SRR17643269__R1__37ba84630d1f4efd2b9d2560ed0665fb	1531918.0	1737366.0
CN_17_RG_2093_BL_ADL_M__SRR17643269__R2__7109509289d1fa8912534281c0a92429	1325588.0	1943696.0
CN_17_RG_2094_BL_ADL_F__SRR17643266__R1__a24d6f2bf320202084322be5f794b5ab	5301349.0	14361347.0
CN_17_RG_2094_BL_ADL_F__SRR17643266__R2__c0c793576f6e7207e3035db91e0e832f	4753416.0	14909280.0
CN_17_RG_2094_BL_ADL_F__SRR17643267__R1__fbef794847220ed54548ad391a8f172e	1575496.0	1792102.0
CN_17_RG_2094_BL_ADL_F__SRR17643267__R2__1da1690960c674fae71eed98c8b8ce18	1378520.0	1989078.0
CN_17_RG_2099_BL_ADL_M__SRR17643264__R1__d07d7fbb0def2ff67772ea5277fae56c	1665011.0	2037845.0
CN_17_RG_2099_BL_ADL_M__SRR17643264__R2__96f38b9aa616d993b2eda2cabc866387	1374180.0	2328676.0
CN_17_RG_2099_BL_ADL_M__SRR17643265__R1__2a8e6ac49b7aef13efedce9ddb76c033	5803163.0	17678612.0
CN_17_RG_2099_BL_ADL_M__SRR17643265__R2__a54571ddb817143da4bed366b759fcb0	4993847.0	18487928.0
CN_17_RG_2102_BL_ADL_F__SRR17643254__R1__b84c31d21811d7ddd65599285b329bb4	6319786.0	16913927.0
CN_17_RG_2102_BL_ADL_F__SRR17643254__R2__d0df538262c018ab672c3a4fcc624eaa	5066661.0	18167052.0
CN_17_RG_2105_BL_ADL_F__SRR17643252__R1__8fb6ac9cbbff3219091f38c53fb10f3f	4850019.0	12514271.0
CN_17_RG_2105_BL_ADL_F__SRR17643252__R2__d3ebfeaee081aa1fb0d0cd1846b3569c	4297529.0	13066761.0
CN_17_RG_2105_BL_ADL_F__SRR17643253__R1__165e5010cdb731c05d2d214fe924f3a9	1720763.0	2040106.0
CN_17_RG_2105_BL_ADL_F__SRR17643253__R2__5a90234fd1fa1dbef6b8a7635c0095d7	1485354.0	2275515.0
CN_17_RG_2107_BL_ADL_F__SRR17643249__R1__ffde05bfb0e4a29efeb937fbb18884e0	5698446.0	12037696.0
CN_17_RG_2107_BL_ADL_F__SRR17643249__R2__b630f7d8c3b8c5b4ae5a8626a2cbb225	4425326.0	13310816.0
CN_17_RG_2107_BL_ADL_F__SRR17643250__R1__3227d3a1cc4b8b747e2dc77ef1125665	1626874.0	1853846.0
CN_17_RG_2107_BL_ADL_F__SRR17643250__R2__c1e7c0f923d7a0e97417c7b9277839c7	1420961.0	2059759.0
CN_17_RG_2111_BL_ADL_F__SRR17643248__R1__f0c3d70c2264678413504f47f83fea86	6881214.0	17425932.0
CN_17_RG_2111_BL_ADL_F__SRR17643248__R2__fc41b224b78bfacf2c10773640fee63b	5726903.0	18580243.0
CN_17_RG_2113_BL_ADL_M__SRR17643155__R1__3efbeac594866d18d29ae820c9513dca	6719077.0	17834846.0
CN_17_RG_2113_BL_ADL_M__SRR17643155__R2__15e56a40065da004de7a906e2386680c	5459871.0	19094052.0
CN_17_RG_2114_BL_ADL_M__SRR17643152__R1__e77b72e76daacc69d0226cfb8e31d7d7	4741742.0	12063495.0
CN_17_RG_2114_BL_ADL_M__SRR17643152__R2__9dfac52f96e27cefc65a639d562e0acd	4238978.0	12566259.0
CN_17_RG_2114_BL_ADL_M__SRR17643153__R1__31f3ed127c6e58ce6e1d8cfdf7efeba4	1401930.0	1504604.0
CN_17_RG_2114_BL_ADL_M__SRR17643153__R2__7c694352745ea9713dc9cb3300812fa2	1235420.0	1671114.0
CN_17_RG_2115_BL_ADL_F__SRR17643150__R1__42fb3431054458d6d156a285802e077c	4139855.0	7876575.0
