Sample	Top over-represented sequence	Sum of remaining over-represented sequences
CN_17_RG_2091_BL_ADL_F__SRR17643270__R1__b9b08ea7246ad8003055c4c087036ce4	0.13313867031979917	0.10262313343431714
CN_17_RG_2091_BL_ADL_F__SRR17643270__R2__b7ae647d44ca9189cc828489c6a79124	0.11021108678698033	0.10194305130810333
CN_17_RG_2091_BL_ADL_F__SRR17643271__R1__f3e2650773095cc4bfc151c931869ab4	0.1352454501053596	0.1007183884363839
CN_17_RG_2091_BL_ADL_F__SRR17643271__R2__9825e25dc073b725edc7c525c0bd479b	0.11526370838570951	0.0
CN_17_RG_2093_BL_ADL_M__SRR17643268__R1__8ad2e44478fa23bd99accd64c76810dc	0.14806863983543567	0.2386774873134206
CN_17_RG_2093_BL_ADL_M__SRR17643268__R2__e8e15a253aed5785f8603a0882752e15	0.14169196510022858	0.3452736076136531
CN_17_RG_2093_BL_ADL_M__SRR17643269__R1__37ba84630d1f4efd2b9d2560ed0665fb	0.1494210964847349	0.23907375437557588
CN_17_RG_2093_BL_ADL_M__SRR17643269__R2__7109509289d1fa8912534281c0a92429	0.1444352953123681	0.45955016450085096
CN_17_RG_2094_BL_ADL_F__SRR17643266__R1__a24d6f2bf320202084322be5f794b5ab	0.12103630143089228	0.1202683497725846
CN_17_RG_2094_BL_ADL_F__SRR17643266__R2__c0c793576f6e7207e3035db91e0e832f	0.1402859506143003	0.0
CN_17_RG_2094_BL_ADL_F__SRR17643267__R1__fbef794847220ed54548ad391a8f172e	0.12059040301128578	0.11981833936235857
CN_17_RG_2094_BL_ADL_F__SRR17643267__R2__1da1690960c674fae71eed98c8b8ce18	0.1417924586010563	0.0
CN_17_RG_2099_BL_ADL_M__SRR17643264__R1__d07d7fbb0def2ff67772ea5277fae56c	0.18917829912910467	0.14958723752692515
CN_17_RG_2099_BL_ADL_M__SRR17643264__R2__96f38b9aa616d993b2eda2cabc866387	0.25734190041416677	0.35586044933964484
CN_17_RG_2099_BL_ADL_M__SRR17643265__R1__2a8e6ac49b7aef13efedce9ddb76c033	0.195722001424509	0.15209242061130387
CN_17_RG_2099_BL_ADL_M__SRR17643265__R2__a54571ddb817143da4bed366b759fcb0	0.25302601698551325	0.353512458065883
CN_17_RG_2102_BL_ADL_F__SRR17643254__R1__b84c31d21811d7ddd65599285b329bb4	0.21920732170531676	0.47849002869235746
CN_17_RG_2102_BL_ADL_F__SRR17643254__R2__d0df538262c018ab672c3a4fcc624eaa	0.3154295656488483	0.4428995055590125
CN_17_RG_2105_BL_ADL_F__SRR17643252__R1__8fb6ac9cbbff3219091f38c53fb10f3f	0.18446478376023437	0.3908826678199916
CN_17_RG_2105_BL_ADL_F__SRR17643252__R2__d3ebfeaee081aa1fb0d0cd1846b3569c	0.252080563040585	0.4588555017222127
CN_17_RG_2105_BL_ADL_F__SRR17643253__R1__165e5010cdb731c05d2d214fe924f3a9	0.1836809524607212	0.3973017938141424
CN_17_RG_2105_BL_ADL_F__SRR17643253__R2__5a90234fd1fa1dbef6b8a7635c0095d7	0.25472836198229715	0.46146249709841
CN_17_RG_2107_BL_ADL_F__SRR17643249__R1__ffde05bfb0e4a29efeb937fbb18884e0	0.1477096879355161	0.2487350405742128
CN_17_RG_2107_BL_ADL_F__SRR17643249__R2__b630f7d8c3b8c5b4ae5a8626a2cbb225	0.1872391414096707	0.10227139588756115
CN_17_RG_2107_BL_ADL_F__SRR17643250__R1__3227d3a1cc4b8b747e2dc77ef1125665	0.14798662345721575	0.24687420993357695
CN_17_RG_2107_BL_ADL_F__SRR17643250__R2__c1e7c0f923d7a0e97417c7b9277839c7	0.18651313521340412	0.10130088027764372
CN_17_RG_2111_BL_ADL_F__SRR17643248__R1__f0c3d70c2264678413504f47f83fea86	0.14536054541327065	0.10086745683759007
CN_17_RG_2111_BL_ADL_F__SRR17643248__R2__fc41b224b78bfacf2c10773640fee63b	0.18475636753076646	0.0
CN_17_RG_2113_BL_ADL_M__SRR17643155__R1__3efbeac594866d18d29ae820c9513dca	0.10645956656294801	0.1063821858527454
CN_17_RG_2113_BL_ADL_M__SRR17643155__R2__15e56a40065da004de7a906e2386680c	0.1262445923610659	0.0
CN_17_RG_2114_BL_ADL_M__SRR17643152__R1__e77b72e76daacc69d0226cfb8e31d7d7	0.15050070403648577	0.2192649826955728
CN_17_RG_2114_BL_ADL_M__SRR17643152__R2__9dfac52f96e27cefc65a639d562e0acd	0.19225554510180368	0.23518263979258366
CN_17_RG_2114_BL_ADL_M__SRR17643153__R1__31f3ed127c6e58ce6e1d8cfdf7efeba4	0.14876825800076654	0.3242005770446862
CN_17_RG_2114_BL_ADL_M__SRR17643153__R2__7c694352745ea9713dc9cb3300812fa2	0.18602913298106954	0.2416624061511064
CN_17_RG_2115_BL_ADL_F__SRR17643150__R1__42fb3431054458d6d156a285802e077c	0.14719013883491186	0.10852640925799092
CN_17_RG_2115_BL_ADL_F__SRR17643150__R2__2d34c3d0b3217ec39953a3a0a904cbbd	0.13615524744037955	0.24740293082055154
CN_17_RG_2115_BL_ADL_F__SRR17643151__R1__517fb4f51c035b9bc0e0beb14c964ddc	0.1555731381981767	0.3178389781016731
CN_17_RG_2115_BL_ADL_F__SRR17643151__R2__8027df563474a733ae007c3bcb94876f	0.1381656784742442	0.25120154910303316
CN_17_RG_2116_BL_ADL_M__SRR17643149__R1__4e04f7ea01f8f2db298d513bf750e67e	0.11704869178233411	0.10168845172130049
CN_17_RG_2116_BL_ADL_M__SRR17643149__R2__d43d8a299cf009813228a2f565297a7c	0.13235533402983693	0.0
CN_17_RG_2121_BL_ADL_F__SRR17643148__R1__6da42680924b3e24f144eeb6436f1847	0.17259717722993317	0.24515158177924212
CN_17_RG_2121_BL_ADL_F__SRR17643148__R2__e155952dc0df472ca650158dce04fe20	0.17721933481126584	0.2832737480271203
CN_17_RG_2122_BL_ADL_F__SRR17643145__R1__4a8db3d47317d17d9b0c2d80853cb47a	0.1646043811492885	0.3837268351451723
CN_17_RG_2122_BL_ADL_F__SRR17643145__R2__345c6a374d16b108f224af7f57d8ae4b	0.17072459111122568	0.3859175432117166
CN_17_RG_2122_BL_ADL_F__SRR17643146__R1__d086543f481b14e37a21c18d268043d1	0.168178305559096	0.3802959655484268
CN_17_RG_2122_BL_ADL_F__SRR17643146__R2__56680118ac074cb28a78496d665186e0	0.1744658005358018	0.3946256052627795
